"Sample IDs","Animal IDs","Months","Dilutions","Assay","Reaction","Threshold","reps","mean_MPR","mean_MS","mean_TtT","mean_RAF","thres_pos"
"S-1106","O-37",6,-3,"RT-QuIC","20250903_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.67417003170552,0.0712694745435477,72,0.0138888888888889,FALSE
"S-1107","1946",6,-3,"Nano-QuIC","20250903_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,5.04640055161035,1.27618906528398,67.3147688356164,0.0149513271886129,FALSE
"S-1107","1946",6,-3,"RT-QuIC","20250903_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.9392907922824,0.38325471033025,68.7248616236162,0.0146611887272177,FALSE
"S-1108","B-109",6,-3,"Nano-QuIC","20250903_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.46231231499738,0.289849584566549,71.7825,0.0139313580767609,FALSE
"S-1108","B-109",6,-3,"RT-QuIC","20250903_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.63143158805486,0.0611319493329425,72,0.0138888888888889,FALSE
"S-1109","B-155",6,-3,"Nano-QuIC","20250903_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.28428927953747,0.176542018531465,72,0.0138888888888889,FALSE
"S-1109","B-155",6,-3,"RT-QuIC","20250903_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.62593597151091,0.0744003800560992,72,0.0138888888888889,FALSE
"S-1140","B-166",0,-3,"Nano-QuIC","20250819_r9_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.38555263934513,0.243185162594391,72,0.0138888888888889,FALSE
"S-1140","B-166",0,-3,"RT-QuIC","20250819_r8_GR_USDA-oral-swabs_RT-QuIC",2,4,1.56569918284911,0.0877551974804787,72,0.0138888888888889,FALSE
"S-1143","1946",0,-3,"Nano-QuIC","20250903_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.2635277615917,0.11440702887255,72,0.0138888888888889,FALSE
"S-1143","1946",0,-3,"RT-QuIC","20250903_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.62116003408007,0.074454408193815,72,0.0138888888888889,FALSE
"S-1145","1905",0,-3,"Nano-QuIC","20250819_r9_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.32961438737011,0.230678319253691,72,0.0138888888888889,FALSE
"S-1145","1905",0,-3,"RT-QuIC","20250819_r8_GR_USDA-oral-swabs_RT-QuIC",2,4,1.547921425141,0.0859309191091003,72,0.0138888888888889,FALSE
"S-1146","B-158",0,-3,"Nano-QuIC","20250903_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.35368917399962,0.245251476619336,71.9506944444445,0.0138984261157749,FALSE
"S-1146","B-158",0,-3,"RT-QuIC","20250903_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.61984591263177,0.105292257462912,72,0.0138888888888889,FALSE
"S-1148","1941",0,-3,"Nano-QuIC","20250903_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.25396134454555,0.106113264374988,72,0.0138888888888889,FALSE
"S-1148","1941",0,-3,"RT-QuIC","20250903_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.59668443135366,0.0694489766903424,72,0.0138888888888889,FALSE
"S-1151","1944",0,-3,"Nano-QuIC","20250903_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.25159254772138,0.093630782456638,72,0.0138888888888889,FALSE
"S-1151","1944",0,-3,"RT-QuIC","20250903_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.61847888216393,0.076920143566755,72,0.0138888888888889,FALSE
"S-1153","Y-15",0,-3,"Nano-QuIC","20250819_r9_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.3245281800274,0.265420160561545,72,0.0138888888888889,FALSE
"S-1153","Y-15",0,-3,"RT-QuIC","20250819_r8_GR_USDA-oral-swabs_RT-QuIC",2,4,1.51726959329809,0.0849181828977674,72,0.0138888888888889,FALSE
"S-1154","Y-18",0,-3,"Nano-QuIC","20250903_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,3.26930949266203,0.652733324845093,62.1876349614396,0.0175770725465994,FALSE
"S-1154","Y-18",0,-3,"RT-QuIC","20250903_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.59466928240966,0.0792656372369969,72,0.0138888888888889,FALSE
"S-1155","B-161",0,-3,"Nano-QuIC","20250903_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.2738684042953,0.103582157264193,72,0.0138888888888889,FALSE
"S-1155","B-161",0,-3,"RT-QuIC","20250903_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.61156650451546,0.0630196318781549,72,0.0138888888888889,FALSE
"S-1160","B-206",0,-3,"Nano-QuIC","20250819_r9_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.35632321490071,0.245340256696185,65.9940406976744,0.015627587787863,FALSE
"S-1160","B-206",0,-3,"RT-QuIC","20250819_r8_GR_USDA-oral-swabs_RT-QuIC",2,4,1.47661611557232,0.107242716172651,72,0.0138888888888889,FALSE
"S-1161","B-227",0,-3,"Nano-QuIC","20250903_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,3.90815928686226,1.05907686798042,55.3547578935314,0.0194570091463248,TRUE
"S-1161","B-227",0,-3,"RT-QuIC","20250903_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,2.58408315567614,0.927106852471775,65.9521246297562,0.0152377050526869,TRUE
"S-1162","B-146",0,-3,"Nano-QuIC","20250903_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.12264118583238,0.106580565470844,72,0.0138888888888889,FALSE
